	CV1	CV2	CV3	CV4	CV5	GF1	GF2	GF3	GF4	GF5	GF6
ASV_1	4	0	1	0	2	1375	1370	1315	1350	1346	1370
ASV_2	641	209	246	682	201	15	15	13	5	7	16
ASV_3	23	199	215	18	492	0	3	10	1	1	0
ASV_4	109	220	153	14	53	0	7	0	1	1	0
ASV_5	8	124	110	10	253	3	0	0	0	1	0
ASV_6	91	94	12	31	28	0	0	0	0	0	0
ASV_7	35	96	62	108	67	2	0	0	2	0	0
ASV_8	83	5	1	64	8	1	1	5	0	1	3
ASV_9	9	7	3	128	23	0	0	0	0	1	1
ASV_10	33	42	30	15	6	0	0	0	0	0	1
ASV_11	30	8	6	19	2	0	0	0	0	0	1
ASV_12	36	19	17	0	15	1	0	0	0	0	0
ASV_13	0	1	101	0	13	0	0	0	0	0	0
ASV_14	22	4	8	20	3	0	0	0	0	0	0
ASV_15	12	38	6	30	6	0	2	0	0	0	0
ASV_16	29	2	1	0	0	0	0	0	0	0	0
ASV_17	12	20	7	29	8	0	0	0	0	0	0
ASV_18	0	2	70	1	7	1	0	0	0	0	0
ASV_19	0	2	59	2	6	0	0	0	0	0	0
ASV_20	10	30	9	8	4	0	0	0	0	0	0
ASV_21	0	69	3	5	3	0	0	0	0	0	0
ASV_22	0	0	47	0	2	0	0	0	0	0	0
ASV_23	12	4	4	12	11	0	0	0	0	0	0
ASV_24	12	3	3	6	2	0	0	0	0	0	0
ASV_25	11	6	6	8	12	0	0	0	0	0	0
ASV_26	10	11	6	1	8	0	0	0	0	0	0
ASV_27	12	3	4	8	1	0	0	0	0	0	0
ASV_28	6	9	16	2	9	0	0	0	0	0	0
ASV_29	3	4	4	15	0	0	0	0	0	0	0
ASV_30	5	3	2	8	2	0	0	0	0	0	0
ASV_31	4	3	5	8	5	0	0	5	0	0	0
ASV_32	6	3	3	5	1	0	0	0	0	0	0
ASV_33	1	20	3	6	9	0	0	0	0	1	0
ASV_34	4	2	6	2	3	0	0	0	0	0	0
ASV_35	6	0	5	3	12	0	0	0	0	0	0
ASV_36	5	1	0	3	2	0	0	0	0	0	0
ASV_37	0	0	14	10	0	0	0	0	1	0	0
