	CV1_S33_L001_R1_001.fastq.gz	CV2_S34_L001_R1_001.fastq.gz	CV3_S35_L001_R1_001.fastq.gz	CV4_S36_L001_R1_001.fastq.gz	CV5_S37_L001_R1_001.fastq.gz	GF1_S38_L001_R1_001.fastq.gz	GF2_S39_L001_R1_001.fastq.gz	GF3_S40_L001_R1_001.fastq.gz	GF4_S41_L001_R1_001.fastq.gz	GF5_S42_L001_R1_001.fastq.gz	GF6_S43_L001_R1_001.fastq.gz
ASV_1	428	18	106	388	169	19505	4488	1322	139596	87404	8356
ASV_2	140529	7262	18906	55730	11229	161	38	8	443	172	103
ASV_3	4632	9567	18774	1227	29072	0	9	11	86	89	0
ASV_4	26463	8104	13844	1036	3444	6	11	0	66	28	0
ASV_5	2622	5736	10355	795	16696	33	0	0	33	49	0
ASV_6	20603	3998	936	3098	1798	0	0	0	41	24	10
ASV_7	8542	4329	4472	8617	3154	38	0	0	128	23	9
ASV_8	21724	88	29	4958	583	21	5	6	217	162	17
ASV_9	2852	458	397	11881	1082	7	0	0	51	34	6
ASV_10	7324	1807	2899	1228	393	0	0	0	46	13	5
ASV_11	8038	407	607	1554	246	0	0	0	0	0	10
ASV_12	7351	1224	1269	0	827	5	0	0	15	0	0
ASV_13	0	122	9143	129	670	0	0	0	39	0	0
ASV_14	5173	260	981	1550	310	0	0	0	0	43	0
ASV_15	2999	2033	356	2052	370	3	4	0	8	6	7
ASV_16	6620	41	55	0	0	0	0	0	0	0	0
ASV_17	1908	810	1089	1927	588	0	0	0	0	0	0
ASV_18	0	53	5304	63	419	6	0	0	0	0	0
ASV_19	0	59	5063	68	432	0	0	0	0	11	0
ASV_20	1907	1411	669	1154	411	0	0	0	0	9	0
ASV_21	419	4201	165	410	242	0	0	0	0	0	6
ASV_22	0	0	4651	63	381	0	0	0	31	0	0
ASV_23	2384	269	297	1110	793	0	0	0	15	6	0
ASV_24	3409	348	208	494	209	0	0	0	0	0	0
ASV_25	1783	126	824	678	702	0	0	0	9	5	0
ASV_26	2637	374	565	30	368	0	0	0	0	0	0
ASV_27	1593	109	369	698	138	0	0	0	21	0	0
ASV_28	1079	278	932	142	376	0	0	0	6	10	0
ASV_29	689	222	807	862	134	0	0	0	0	0	0
ASV_30	1684	164	247	355	188	0	0	0	0	0	0
ASV_31	885	99	485	672	396	0	0	6	0	0	0
ASV_32	1519	82	265	505	76	0	0	0	0	0	0
ASV_33	344	657	341	576	504	0	0	0	0	24	0
ASV_34	1448	80	302	207	227	0	0	0	0	0	0
ASV_35	915	10	500	248	530	0	0	0	0	9	0
ASV_36	1736	76	142	166	87	0	0	0	0	0	0
ASV_37	0	0	1398	657	74	0	0	0	11	0	0
ASV_38	339	30	998	0	753	0	0	0	0	0	0
ASV_39	1687	54	84	166	77	0	0	0	0	0	0
ASV_40	0	0	0	1809	52	15	0	0	60	0	10
ASV_41	892	62	169	561	208	0	0	0	5	0	0
ASV_42	1133	189	273	99	160	0	0	0	0	0	0
ASV_43	1297	197	265	46	30	0	0	0	0	0	0
ASV_44	1370	57	99	204	78	0	0	0	0	0	0
ASV_45	381	514	356	0	421	0	0	0	0	0	0
ASV_46	753	81	250	325	260	0	0	0	0	0	0
ASV_47	408	164	783	179	110	0	0	0	0	7	0
ASV_48	448	488	305	0	326	0	0	0	0	0	0
ASV_49	455	109	559	218	205	2	0	0	4	0	0
ASV_50	571	82	215	282	219	0	0	0	16	9	0
ASV_51	679	77	98	295	204	0	0	0	0	0	0
ASV_52	541	511	92	88	79	0	0	0	0	0	0
ASV_53	67	155	465	0	608	0	0	0	0	0	0
ASV_54	932	16	48	193	88	0	0	0	0	0	0
ASV_55	396	0	320	475	64	3	0	0	0	5	0
ASV_56	586	198	121	131	69	0	0	0	0	0	0
ASV_57	0	0	1028	0	62	0	0	0	0	0	0
ASV_58	434	56	228	234	66	0	0	0	0	0	0
ASV_59	1012	0	0	0	0	0	0	0	2	0	0
ASV_60	689	74	0	0	211	0	0	0	0	0	0
ASV_61	70	461	25	180	222	0	0	0	13	0	0
ASV_62	552	2	117	220	71	0	0	0	0	0	0
ASV_63	0	0	0	0	0	0	0	0	520	350	0
ASV_64	268	59	377	0	139	0	0	0	0	0	0
ASV_65	0	0	531	99	205	0	0	0	0	0	0
ASV_66	0	0	551	244	0	0	0	0	0	0	4
ASV_67	394	122	69	179	28	0	0	0	0	0	0
ASV_68	238	54	82	384	17	7	0	0	0	0	0
ASV_69	406	353	14	0	0	0	0	0	0	0	0
ASV_70	0	0	0	0	0	0	0	0	475	261	0
ASV_71	551	28	30	60	42	0	0	0	0	0	0
ASV_72	472	52	38	29	15	0	0	0	10	0	0
ASV_73	252	14	54	260	26	0	0	0	5	0	0
ASV_74	0	0	0	0	0	0	0	0	368	230	0
ASV_75	410	0	83	101	0	0	0	0	0	0	0
ASV_76	0	0	0	0	0	0	0	0	367	214	0
ASV_77	0	0	288	0	284	0	0	0	0	0	0
ASV_78	427	0	0	0	144	0	0	0	0	0	0
ASV_79	568	0	0	0	0	0	0	0	0	0	0
ASV_80	532	0	0	31	0	2	0	0	0	0	0
ASV_81	249	104	28	127	43	0	0	0	0	7	3
ASV_82	359	19	5	61	103	0	0	0	0	0	0
ASV_83	487	0	0	46	0	0	0	0	0	0	0
ASV_84	0	0	0	0	0	0	0	0	321	199	0
ASV_85	0	284	202	0	0	0	0	0	0	0	0
ASV_86	0	0	0	0	0	0	0	0	291	180	0
ASV_87	278	0	0	173	0	0	0	0	0	0	0
ASV_88	308	0	0	132	0	0	0	0	0	0	0
ASV_89	48	0	320	24	33	0	0	0	0	0	0
ASV_90	312	0	0	101	0	0	0	0	0	0	0
ASV_91	143	21	153	0	93	0	0	0	0	0	0
ASV_92	0	381	0	0	25	0	0	0	0	0	0
ASV_93	402	0	0	0	0	0	0	0	0	0	0
ASV_94	0	0	391	0	0	0	0	0	0	0	0
ASV_95	236	81	58	0	0	0	0	0	0	4	0
ASV_96	0	0	0	0	0	0	0	0	354	0	0
ASV_97	197	0	93	60	0	0	0	0	0	0	0
ASV_98	181	0	0	165	0	0	0	0	0	0	0
ASV_99	332	0	0	8	0	0	0	0	3	0	0
ASV_100	133	9	58	82	56	0	0	0	0	0	0
ASV_101	0	0	210	0	113	0	0	0	0	8	0
ASV_102	193	0	39	56	37	0	0	0	0	0	0
ASV_103	202	7	92	0	24	0	0	0	0	0	0
ASV_104	0	0	0	0	0	0	0	0	319	0	0
ASV_105	12	18	34	0	224	0	0	0	0	9	0
ASV_106	189	14	38	0	38	0	0	0	0	5	0
ASV_107	0	0	0	0	0	0	0	0	281	0	0
ASV_108	18	125	0	58	79	0	0	0	0	0	0
ASV_109	278	0	0	0	0	0	0	0	0	0	0
ASV_110	119	0	116	0	33	0	0	0	3	0	0
ASV_111	0	0	0	0	267	0	0	0	0	0	0
ASV_112	0	0	0	0	0	0	0	0	239	0	0
ASV_113	234	0	0	0	0	0	0	0	0	0	0
ASV_114	0	0	173	8	53	0	0	0	0	0	0
ASV_115	0	0	0	0	0	0	0	0	0	221	0
ASV_116	0	0	0	0	0	0	0	0	217	0	0
ASV_117	0	0	0	0	0	0	0	0	0	216	0
ASV_118	215	0	0	0	0	0	0	0	0	0	0
ASV_119	0	0	55	0	157	0	0	0	0	0	0
ASV_120	150	0	40	0	17	0	0	0	0	0	0
ASV_121	103	0	0	104	0	0	0	0	0	0	0
ASV_122	202	0	0	0	0	0	0	0	0	0	0
ASV_123	87	0	35	0	80	0	0	0	0	0	0
ASV_124	0	0	95	0	101	0	0	0	0	0	0
ASV_125	0	0	39	72	84	0	0	0	0	0	0
ASV_126	42	24	75	7	45	0	0	0	0	0	0
ASV_127	0	0	81	0	112	0	0	0	0	0	0
ASV_128	107	23	52	8	0	0	0	0	0	0	0
ASV_129	66	57	0	32	35	0	0	0	0	0	0
ASV_130	0	0	189	0	0	0	0	0	0	0	0
ASV_131	0	0	181	0	0	0	0	0	0	0	0
ASV_132	22	8	0	17	24	16	17	0	52	13	4
ASV_133	0	0	0	159	0	0	0	0	0	0	0
ASV_134	0	0	0	0	0	0	0	0	0	155	0
ASV_135	0	0	0	0	0	0	0	0	0	154	0
ASV_136	0	0	0	0	0	0	0	0	0	154	0
ASV_137	0	0	0	0	0	0	0	0	145	0	0
ASV_138	0	0	0	0	0	0	0	0	0	143	0
ASV_139	16	107	11	7	0	0	0	0	0	0	0
ASV_140	48	52	19	0	0	0	0	0	0	5	0
ASV_141	115	0	0	0	0	0	0	0	0	0	0
ASV_142	88	0	0	26	0	0	0	0	0	0	0
ASV_143	33	11	69	0	0	0	0	0	0	0	0
ASV_144	40	0	0	35	35	0	0	0	0	0	0
ASV_145	73	0	0	13	15	0	0	0	6	0	0
ASV_146	0	0	0	0	0	0	0	0	101	0	0
ASV_147	37	0	39	0	21	0	0	0	0	0	0
ASV_148	95	0	0	0	0	0	0	0	0	0	0
ASV_149	69	0	11	0	9	0	0	0	0	0	0
ASV_150	38	40	6	5	0	0	0	0	0	0	0
ASV_151	66	0	0	21	0	0	0	0	0	0	0
ASV_152	62	0	0	5	20	0	0	0	0	0	0
ASV_153	55	0	0	0	20	0	0	0	0	0	0
ASV_154	74	0	0	0	0	0	0	0	0	0	0
ASV_155	56	0	15	0	2	0	0	0	0	0	0
ASV_156	39	15	0	11	5	0	0	0	0	0	0
ASV_157	12	4	0	0	7	3	9	0	25	7	0
ASV_158	0	0	66	0	0	0	0	0	0	0	0
ASV_159	0	0	60	0	0	0	0	0	0	0	0
ASV_160	0	16	29	14	0	0	0	0	0	0	0
ASV_161	0	0	20	25	14	0	0	0	0	0	0
ASV_162	23	0	23	5	6	0	0	0	0	0	0
ASV_163	0	0	0	56	0	0	0	0	0	0	0
ASV_164	6	0	1	17	31	0	0	0	0	0	0
ASV_165	24	30	0	0	0	0	0	0	0	0	0
