"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Description"
"EC:1.1.1.1",1015.42512264311,1.44426479439282,0.057117335671451,25.285927248086,4.56237081973993e-141,1.71088905740247e-138,"Alcohol dehydrogenase"
"EC:1.1.1.100",1633.39103998092,0.672843909014973,0.072583180542504,9.26997003969759,1.86198218353142e-20,1.35581226956172e-19,"3-oxoacyl-[acyl-carrier-protein] reductase"
"EC:1.1.1.103",74.5314467204089,-4.25433448488625,0.583648759169836,-7.28920334027177,3.11793170236908e-13,1.68233724947972e-12,"L-threonine 3-dehydrogenase"
"EC:1.1.1.130",27.541341125242,-3.73455765984002,0.77969070832848,-4.78979372198273,1.66952850879702e-06,5.02870032770187e-06,"3-dehydro-L-gulonate 2-dehydrogenase"
"EC:1.1.1.133",680.761928977863,-0.599810231758305,0.15233750050566,-3.93737740062251,8.23769951799133e-05,0.000215646584240611,"dTDP-4-dehydrorhamnose reductase"
"EC:1.1.1.14",320.285410533196,-3.63624259404363,0.408945493940209,-8.89175366381533,6.01519293271974e-19,4.19664623213005e-18,"L-iditol 2-dehydrogenase"
"EC:1.1.1.159",77.3825345769706,-4.536136744183,0.655938932990952,-6.91548636013891,4.66260904921165e-12,2.27075116033035e-11,"7-alpha-hydroxysteroid dehydrogenase"
"EC:1.1.1.169",441.52040245183,0.427894503820685,0.0934937596333465,4.57671726432603,4.72329135295807e-06,1.36511310779135e-05,"2-dehydropantoate 2-reductase"
"EC:1.1.1.17",252.236848808058,4.96922977693998,0.305204876747886,16.2816198413658,1.33293408756558e-59,3.44724332991099e-58,"Mannitol-1-phosphate 5-dehydrogenase"
"EC:1.1.1.18",118.417633309069,-2.53895147810536,0.435029383554983,-5.83627583350232,5.33804976420537e-09,2.0797596483917e-08,"Inositol 2-dehydrogenase"
"EC:1.1.1.193",404.083198759704,0.724841340708335,0.136009477619003,5.32934434715497,9.85679550816016e-08,3.43841703773029e-07,"5-amino-6-(5-phosphoribosylamino)uracil reductase"
"EC:1.1.1.219",245.039504016969,11.8541905923617,0.92530877388035,12.8110647245354,1.42170283124234e-37,1.83840883350303e-36,"Dihydrokaempferol 4-reductase"
"EC:1.1.1.22",408.094911781479,-2.98685428910736,0.318067934523909,-9.39061742762013,5.96495540769132e-21,4.42942233244405e-20,"UDP-glucose 6-dehydrogenase"
"EC:1.1.1.261",10.8627051888211,-5.5392926987296,1.35735704917387,-4.08094001655717,4.48539303960949e-05,0.000118870840272336,"sn-glycerol-1-phosphate dehydrogenase"
"EC:1.1.1.262",172.989308744299,-2.95963961277267,0.358314224805839,-8.25989985291938,1.45794738473599e-16,9.03686395497513e-16,"4-hydroxythreonine-4-phosphate dehydrogenase"
"EC:1.1.1.267",237.457267868634,-3.18816069709404,0.36432106206559,-8.75096454489382,2.11536832903391e-18,1.42289349486586e-17,"1-deoxy-D-xylulose-5-phosphate reductoisomerase"
"EC:1.1.1.27",1087.808979777,3.01775470211753,0.182971544873397,16.4930273950826,4.11789566149175e-61,1.16544216834672e-59,"L-lactate dehydrogenase"
"EC:1.1.1.271",117.371890391948,-3.03141416431459,0.369458724340237,-8.20501442949536,2.30563193312636e-16,1.41161138762838e-15,"GDP-L-fucose synthase"
"EC:1.1.1.28",165.166802313951,-3.02585121384254,0.397038629626927,-7.62104991316776,2.51620616667014e-14,1.4242676415114e-13,"D-lactate dehydrogenase"
"EC:1.1.1.29",215.273098514879,-3.25716999829359,0.338424301406221,-9.6245156886175,6.30030129239811e-22,4.92211038468603e-21,"Glycerate dehydrogenase"
"EC:1.1.1.290",104.134624005202,-2.67955690227063,0.430058878098368,-6.23067453953998,4.6443106698224e-10,1.97350311748827e-09,"4-phosphoerythronate dehydrogenase"
"EC:1.1.1.302",24.5155732544652,-3.86395272082427,0.917215557590427,-4.21269862776322,2.52337646555338e-05,6.90705236921544e-05,"2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase"
"EC:1.1.1.304",497.955203304275,6.41787335862011,0.349478830418819,18.3641262359979,2.54513003991442e-75,1.12285148819754e-73,"Diacetyl reductase ((S)-acetoin forming)"
"EC:1.1.1.31",322.38219874265,1.72223302115517,0.339908330046967,5.06675732517998,4.0464961531653e-07,1.33400972082373e-06,"3-hydroxyisobutyrate dehydrogenase"
"EC:1.1.1.343",600.170720621203,2.22096023307105,0.262016963787569,8.47639863070734,2.32271936563333e-17,1.48892267027777e-16,"Phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating)"
"EC:1.1.1.35",11.6943298209415,5.60627662773877,1.67443789438435,3.34815441441025,0.000813516705293258,0.00193387489372407,"3-hydroxyacyl-CoA dehydrogenase"
"EC:1.1.1.363",358.018567856473,1.2917867312293,0.272581695239115,4.73908099403415,2.14689684082888e-06,6.40227686131872e-06,"Glucose-6-phosphate dehydrogenase (NAD(P)(+))"
"EC:1.1.1.369",118.417633309069,-2.53895147810536,0.435029383554983,-5.83627583350232,5.33804976420537e-09,2.0797596483917e-08,"D-chiro-inositol 1-dehydrogenase"
"EC:1.1.1.37",209.321050583488,-2.78687592888587,0.392146782690737,-7.10671629067964,1.18836363986543e-12,6.10460773903472e-12,"Malate dehydrogenase"
"EC:1.1.1.38",370.315284137421,0.827809087959709,0.238758053980425,3.46714623510702,0.000526015635358989,0.00126649029380174,"Malate dehydrogenase (oxaloacetate-decarboxylating)"
"EC:1.1.1.40",110.726892835783,-2.47092599625802,0.486843147643654,-5.07540469290249,3.86672135088197e-07,1.2775511071196e-06,"Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))"
"EC:1.1.1.41",8.74046870530464,-3.13339227133416,1.03302051843163,-3.0332333341175,0.00241948442363593,0.00540063487418735,"Isocitrate dehydrogenase (NAD(+))"
"EC:1.1.1.42",463.891579943746,0.272055723030147,0.0841591302881693,3.23263467788463,0.00122654305204192,0.00284801018275988,"Isocitrate dehydrogenase (NADP(+))"
"EC:1.1.1.44",600.170720621203,2.22096023307105,0.262016963787569,8.47639863070734,2.32271936563333e-17,1.48892267027777e-16,"Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)"
"EC:1.1.1.49",358.018567856473,1.2917867312293,0.272581695239115,4.73908099403415,2.14689684082888e-06,6.40227686131872e-06,"Glucose-6-phosphate dehydrogenase (NADP(+))"
"EC:1.1.1.57",313.834669438254,1.68137372241323,0.274130937031736,6.13346943113752,8.59829465229566e-10,3.58262277178986e-09,"Fructuronate reductase"
"EC:1.1.1.58",145.951451260064,-3.30326811428322,0.260683668303746,-12.6715575846289,8.50094719648016e-37,1.06261839956002e-35,"Tagaturonate reductase"
"EC:1.1.1.6",52.4163116440999,-4.04816847884743,0.500816396421593,-8.08313886640331,6.3120678238324e-16,3.81778295796315e-15,"Glycerol dehydrogenase"
"EC:1.1.1.60",70.3579542375402,-3.45361263008546,0.625668643727142,-5.5198748805951,3.39241126193036e-08,1.22913451519216e-07,"2-hydroxy-3-oxopropionate reductase"
"EC:1.1.1.67",91.8474955338489,-2.60348441078558,0.468940946310836,-5.55183852309597,2.82680658035048e-08,1.03891799908165e-07,"Mannitol 2-dehydrogenase"
"EC:1.1.1.69",203.08531946937,-3.4506437748263,0.240305403078755,-14.3594098618558,9.30158085008352e-47,1.51656209512231e-45,"Gluconate 5-dehydrogenase"
"EC:1.1.1.76",497.955203304275,6.41787335862011,0.349478830418819,18.3641262359979,2.54513003991442e-75,1.12285148819754e-73,"(S,S)-butanediol dehydrogenase"
"EC:1.1.1.77",148.715344422957,-3.32986245174241,0.338209386192604,-9.84556487100603,7.16356771618716e-23,5.9696397634893e-22,"Lactaldehyde reductase"
"EC:1.1.1.88",251.347802744759,5.46495220237964,0.350150028540868,15.6074589659552,6.47655172127399e-55,1.33079829889192e-53,"Hydroxymethylglutaryl-CoA reductase"
"EC:1.1.1.95",590.913314395533,-0.39158309808942,0.103723030103958,-3.77527630745988,0.000159830398790952,0.000407730609160592,"Phosphoglycerate dehydrogenase"
"EC:1.1.5.3",364.926285170644,0.980033835219995,0.247520518424124,3.95940442214457,7.51369068373638e-05,0.000197129891910598,"Glycerol-3-phosphate dehydrogenase"
"EC:1.11.1.1",4.30985557028906,-4.71331464262054,1.51843121416897,-3.1040685930578,0.00190879072093051,0.00433816072938753,"NADH peroxidase"
"EC:1.11.1.9",354.208184836436,1.43644338497205,0.28721376441408,5.00130412587439,5.6943802129202e-07,1.82123034528365e-06,"Glutathione peroxidase"
"EC:1.12.1.3",522.160472642498,-3.47502353806231,0.195221246297995,-17.8004372165408,7.01193144313628e-71,2.50426122969153e-69,"Hydrogen dehydrogenase (NADP(+))"
"EC:1.12.7.2",60.791258475859,-3.7625759867087,0.671969615612323,-5.59932458148439,2.15188557820319e-08,7.95031617562753e-08,"Ferredoxin hydrogenase"
"EC:1.13.11.2",245.882766153053,8.72560973240079,0.446981458477332,19.5211894518513,7.25299932987876e-85,4.02944407215486e-83,"Catechol 2,3-dioxygenase"
