function	CV1	CV2	CV3	CV4	CV5	GF1	GF2	GF3	GF4	GF5	GF6
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	1371.43	1577.76	1532.91	1554.92	1809.51	260.5	251.41000000000005	345.34	246.65	245.18000000000004	254.53
1.1.1.136-RXN	36.17	10.17	11.33	32.33	8.67	0.33	0.33	1.67	0.0	0.33	1.0
1.1.1.215-RXN	0.0	0.0	0.0	1.0	0.67	0.0	1.0	18.0	0.0	0.2	3.4
1.1.1.251-RXN	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.253-RXN	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0
1.1.1.261-RXN	15.0	30.5	157.5	18.5	27.0	0.5	1.0	0.0	0.0	0.0	0.0
1.1.1.264-RXN	0.0	4.0	0.0	1.0	0.0	0.0	0.0	16.0	0.0	0.0	1.0
1.1.1.271-RXN	746.8399999999999	324.59	486.66	749.25	291.09	15.83	17.08	19.67	5.5	7.58	17.5
1.1.1.39-RXN	386.34	656.1700000000001	640.83	404.83	798.6700000000001	238.0	232.16000000000005	230.84	236.65	233.83000000000004	235.33
1.1.1.43-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.2	0.4
1.1.1.83-RXN	2.0	2.0	2.0	2.0	1.67	0.0	0.0	25.0	0.0	0.0	2.0
1.1.99.25-RXN	0.0	1.0	0.0	1.0	0.0	0.0	0.0	16.0	0.0	0.2	2.4
1.10.2.2-RXN	0.0	1.0	0.0	0.0	0.0	0.0	1.0	36.0	0.0	0.2	0.4
1.11.1.15-RXN	2661.69	1585.6	1684.5	2943.26	1351.2700000000002	514.67	514.24	626.0099999999999	485.8	489.88000000000005	522.26
1.12.1.3-RXN	2455.68	2114.18	1723.0	3102.9300000000003	2494.18	65.0	49.5	54.0	26.5	33.5	56.75
1.13.11.15-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0
1.13.11.49-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	1.0
1.13.11.6-RXN	0.0	0.0	0.0	0.0	0.0	0.0	1.0	12.0	0.0	0.0	1.0
1.13.11.9-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.2	1.4
1.14.11.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.2	0.4
1.14.11.2-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.14.12.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.4	0.8
1.14.13.59-RXN	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.14.19.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0
1.14.19.3-RXN	0.0	0.0	0.0	0.0	0.0	0.0	1.0	12.0	0.0	0.0	0.0
1.15.1.2-RXN	306.17	365.17	413.66	462.83	314.67	5.83	0.33	6.67	5.0	2.33	3.5
1.17.1.1-RXN	1.0	4.0	2.0	1.0	0.0	0.0	0.0	16.0	0.0	0.2	0.4
1.17.4.2-RXN	1424.93	1583.26	1550.2400000000002	1977.83	1877.01	261.83	250.74	274.51	246.65	247.91000000000005	257.58000000000004
1.18.1.2-RXN	391.09	728.09	671.9100000000001	519.0	835.01	8.83	5.58	49.17	6.0	4.48	6.05
1.2.1.2-RXN	61.25	85.0	57.75	24.5	18.59	0.0	3.0	24.0	0.0	0.0	7.0
1.2.1.27-RXN	2.25	5.0	6.75	4.0	1.25	0.0	1.0	59.0	0.0	0.6000000000000001	5.2
1.2.1.32-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1.2.1.45-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
1.2.1.66-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0
1.2.1.9-RXN	7.0	7.0	2.0	1.0	0.0	0.0	1.0	16.0	0.0	0.2	1.4
1.2.3.3-RXN	1.34	2.0	1.34	0.0	0.66	458.34	456.66	438.34	462.3	462.00000000000006	457.66
1.2.4.4-RXN	669.17	231.17	251.0	693.92	207.17	15.0	16.0	57.0	5.0	7.4	19.05
1.2.7.4-RXN	29.0	26.0	39.0	7.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0
1.2.7.5-RXN	2.0	6.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.2.7.8-RXN	1592.34	1382.34	1349.0	1582.84	1528.34	37.0	36.0	65.0	11.0	17.0	33.5
1.20.98.1-RXN	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.21.4.1-RXN	462.5	1602.5	995.0	655.0	1745.0	30.0	0.0	0.0	10.0	5.0	0.0
1.21.4.4-RXN	17.5	194.5	120.0	21.0	260.0	3.0	0.0	0.0	0.0	1.0	0.0
1.3.1.25-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0
1.3.1.54-RXN	241.67	365.17	170.66	268.83	173.67000000000002	4.33	0.33	26.67	4.0	1.53	2.9
