"","pathway","description","CV1","CV2","CV3","CV4","CV5","GF1","GF2","GF3","GF4","GF5","GF6"
"5","ANAEROFRUCAT-PWY","homolactic fermentation",970.641830780422,974.884936140988,978.188774368956,1182.80553820435,990.148745135402,351.508024018149,344.946256233215,386.190448345498,331.97609584799,332.979998022775,350.06764185904
"6","ANAGLYCOLYSIS-PWY","glycolysis III (from glucose)",1473.94516145666,1269.84372607186,1217.9903614889,1693.96297549979,1338.55035644581,338.189144376048,330.99707424198,369.915328060458,316.899603365749,318.348405452228,336.31636409291
"9","ARGORNPROST-PWY","arginine, ornithine and proline interconversion",56.7746225573022,92.4915289595788,87.0452492284856,43.8795052223331,38.9327715253191,328.237877963548,324.268631362025,347.44092814981,328.666220869136,328.020341823991,325.214186476852
"10","ARGSYN-PWY","L-arginine biosynthesis I (via L-ornithine)",711.042208924058,880.063713048275,850.903960412837,878.526389194226,985.886930757523,291.953356819918,288.63031948327,344.291507149457,281.54001364579,281.95360372459,292.447408573916
"11","ARGSYNBSUB-PWY","L-arginine biosynthesis II (acetyl cycle)",629.624687580267,880.108194808171,849.895585830056,807.662213421486,999.171001966505,290.768241414734,285.092200805557,339.661690741778,282.310057158683,282.020033928694,290.045653030766
"12","ARO-PWY","chorismate biosynthesis I",1019.78713603843,1092.22509726285,1050.64578518792,1217.32142623975,1191.03355148217,272.555619439483,267.854151606479,319.066808371902,261.329025731214,261.073951229669,271.261529902717
"13","ASPASN-PWY","superpathway of L-aspartate and L-asparagine biosynthesis",1422.63432235939,1101.564614303,1066.88405749402,1547.16900961551,1162.490663022,35.3291573259403,30.0203198727212,54.4882424613006,15.1178581689004,16.5666167092593,32.185633412423
"17","CALVIN-PWY","Calvin-Benson-Bassham cycle",1350.25518850392,1402.65056386382,1311.80594862224,1493.65831437557,1519.17406589135,282.125241337254,274.870156027675,326.169873729559,266.614292997193,267.032529723192,279.062490978693
"20","COA-PWY","coenzyme A biosynthesis I",1103.97472392513,937.557318798808,818.772134528414,1238.93259847818,896.239603459259,252.667335191687,249.075656960372,281.405878170054,241.899741628772,241.94732789445,251.73
"21","COBALSYN-PWY","adenosylcobalamin salvage from cobinamide I",355.865975819842,577.606513392407,507.932713966356,342.327040138814,556.993434447387,12.8648656556027,0.693547131951474,51.9259216585288,7.4211024616032,4.23503675443487,5.06278813607008
"22","CODH-PWY","reductive acetyl coenzyme A pathway",38.315333645432,48.7174093721462,39.1671698348914,18.8542885973764,8.96123177654188,0,0,0,0,0,0.997994625596599
"23","COLANSYN-PWY","colanic acid building blocks biosynthesis",375.15926414879,284.022362525013,245.985837415695,591.635260015934,170.20159467314,28.7560628665516,31.8979221150767,54.2438573757926,11.2538651741852,14.2601833577218,32.4755252082346
"25","DAPLYSINESYN-PWY","L-lysine biosynthesis I",746.219080871631,1020.08221109783,910.676874174606,998.507805900645,1139.29889248949,98.1675545490128,76.6795501489817,192.30142682764,57.0450909530139,53.4052926406205,85.6043253521904
"27","DENOVOPURINE2-PWY","superpathway of purine nucleotides de novo biosynthesis II",1153.86193968426,724.235194727642,723.170857145109,1287.01127414011,652.623914065604,85.2625012966245,93.0151607469818,194.556119122921,40.1207036088289,46.9568960487855,105.058015221787
"29","DTDPRHAMSYN-PWY","dTDP-L-rhamnose biosynthesis I",2369.23727376026,1425.84282573348,1431.76304748841,2662.1793152466,1455.45967879916,283.663441030793,281.074903139731,321.79098108677,253.146049772862,257.240688118793,284.51500552533
"35","FERMENTATION-PWY","mixed acid fermentation",704.456520446486,810.626091382312,667.878345378199,967.558575856864,847.16074421971,54.2862370983781,66.3516899084751,133.75224442419,20.6672694889079,31.5909439444263,69.6610873931803
"36","FOLSYN-PWY","superpathway of tetrahydrofolate biosynthesis and salvage",1090.16611768839,791.653297394608,779.274398047311,1166.34122233051,824.108456231665,188.083896210797,196.423382226914,264.205129268602,120.645084647081,139.991023894596,195.82331355805
"38","FUCCAT-PWY","fucose degradation",205.943707231499,494.247781130361,407.124638606502,217.69773345037,660.360142459597,8.09467455621302,2.31578947368421,8.19985304922851,3.15789473684211,2.24824355971897,0
"41","GALACTUROCAT-PWY","D-galacturonate degradation I",957.475930534627,732.627314833599,822.46852206298,1033.51773451103,814.616641130691,37.5816316392236,41.1331868315128,40.6932588594919,19.0605630538179,20.7524804669507,43.6723654786038
"44","GLCMANNANAUT-PWY","superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",673.225169520045,877.531169339705,905.026017419898,728.532038308027,1032.96643870906,78.0316816856849,73.8785521286129,77.6546764396585,34.3914742295123,38.7343417243623,71.7515458246103
"47","GLUCONEO-PWY","gluconeogenesis I",1243.8179366388,1077.78731071552,1041.56455217963,1355.26810748629,1115.54618560125,137.858265507682,138.389582676365,219.252129134593,69.2131295217468,77.4644115626744,143.86798525719
"49","GLUCUROCAT-PWY","superpathway of &beta;-D-glucuronide and D-glucuronate degradation",938.870513588518,574.955681474697,668.743256431847,1004.09883961896,713.717814829594,248.300582302603,245.168398052069,243.388569682598,241.558337338609,240.031361265367,247.320979294766
"50","GLUTORN-PWY","L-ornithine biosynthesis",885.528566252758,832.397523683086,801.965980683603,954.581997537932,941.875383302696,249.392455450501,248.174756670379,298.532651415273,239.919604354197,240.97523029036,251.949613136345
"51","GLYCOCAT-PWY","glycogen degradation I (bacterial)",1499.94964989314,1410.25192636676,1372.5382177263,1708.9426704143,1618.17190972534,45.806596087063,44.4802081913142,136.933059223392,23.8900866489893,24.7692630761632,45.729875091776
"52","GLYCOGENSYNTH-PWY","glycogen biosynthesis I (from ADP-D-Glucose)",1088.44666020203,1216.54281031948,1168.85876969392,1296.08234048717,1336.41886301621,55.2863462254013,53.6374338702255,155.858755229183,29.3568966130985,30.4092196909359,55.1361074196406
"54","GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)",1356.75798155824,1113.91711398044,1098.1343246124,1552.90213608482,1103.96989331448,328.292627185954,320.798589093468,366.128523262132,310.379714121409,311.353243332516,325.644478333601
"62","HISDEG-PWY","L-histidine degradation I",694.96341107851,277.302701900068,265.04854368932,732.730638818472,218.656405039199,15,17.4594594594595,42.0991710267038,5,7.34117647058823,20.4121416526138
"63","HISTSYN-PWY","L-histidine biosynthesis",1234.89620668343,1054.34066855864,1023.22454547075,1409.94256451097,1119.07415176566,259.465777769312,255.3692966855,290.84990008679,244.172497315253,245.784102573169,258.990871609067
"66","ILEUSYN-PWY","L-isoleucine biosynthesis I (from threonine)",1324.85192351363,1300.44466715082,1246.70815722534,1513.45279524703,1442.24448030317,305.089373171939,299.428422187548,365.718263555873,292.118421796156,291.810609838394,303.188129033256
"69","LACTOSECAT-PWY","lactose and galactose degradation I",62.033760972316,35.5831151097423,53.1673926571251,52.9315068493151,19.4341671716455,0,4.10140845070423,0,0,0,0
"78","NAGLIPASYN-PWY","lipid IVA biosynthesis",807.243277504437,364.439479821707,354.233466070672,811.900822014148,253.635465628741,16.7467773650863,20.783114785486,55.6632607020124,7.15596330275229,8.3438120625022,21.5969720001216
"79","NONMEVIPP-PWY","methylerythritol phosphate pathway I",1163.19407511691,1071.19265636789,1063.50642929543,1321.65757465752,1162.85300154701,30.6509272899949,26.613151947712,74.4476735490068,14.2949017936273,14.7407408852568,29.42504653877
"80","NONOXIPENT-PWY","pentose phosphate pathway (non-oxidative branch)",1533.94422416108,1630.22618885777,1614.48241262789,1765.34567208367,1799.09226029459,266.105914340411,256.590076127637,320.252116832831,249.992419821575,248.737478291843,260.668789781524
"81","OANTIGEN-PWY","O-antigen building blocks biosynthesis (E. coli)",512.813804031368,486.596230038188,661.243029245732,710.047858866177,449.686492833339,269.2593649826,266.950334887381,301.162570267289,255.803327588055,257.249856837313,269.099302748842
"86","P108-PWY","pyruvate fermentation to propanoate I",1106.95665323196,586.548877540761,571.788797799861,1146.89920338707,445.511190321195,25.5920925473646,27.9513998552567,60.769583433833,9.83421264599275,12.4617685380578,29.4609735846886
"88","P124-PWY","Bifidobacterium shunt",249.495690108914,65.2898528140027,105.186166385836,190.950831524146,88.6080074745056,289.216840033069,286.064800751884,302.38266709727,277.148602633063,277.782799078601,288.655182896486
"90","P161-PWY","acetylene degradation",480.488083370628,680.646824039229,489.448543043934,685.602291949715,680.339323952279,355.817467076845,346.471579082095,344.811136704375,352.849867247239,351.392429324389,352.921176135825
"91","P162-PWY","L-glutamate degradation V (via hydroxyglutarate)",26.6469445981366,23.0545673468182,22.99962956556,18.459172583642,8.79675474711622,0,0,0,0,0,0
"93","P164-PWY","purine nucleobases degradation I (anaerobic)",287.952087745223,734.048919783102,537.286497659069,337.058313725655,909.085918540463,12.7622247834853,0,0,11.4179729104582,6.46439788733593,0
"98","P341-PWY","glycolysis V (Pyrococcus)",8.71766049338082,163.145851462405,9.95296333557709,19.8562865008023,9.95805380456823,0,0,0,0,0,0
"100","P42-PWY","incomplete reductive TCA cycle",1606.77861352015,920.366165213874,913.603347533826,1670.96663124338,736.398030203725,58.3270440275235,63.2027005525662,145.681694403098,24.8500177436778,29.5649460672271,69.6374369823105
