"","function.","description","CV1","CV2","CV3","CV4","CV5","GF1","GF2","GF3","GF4","GF5","GF6"
"54","K00082","ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]",6,19,3,15,3,0,1,0,0,0,0
"116","K00183","K00183; prokaryotic molybdopterin-containing oxidoreductase family, molybdopterin binding subunit",8,12,20,6,10,0,0,0,0,0,0
"119","K00194","cdhD, acsD; acetyl-CoA decarbonylase/synthase complex subunit delta [EC:2.1.1.245]",9,9,16,2,10,0,0,0,0,0,0
"120","K00196","cooF; anaerobic carbon-monoxide dehydrogenase iron sulfur subunit",23,39,29,12,16,0,0,0,0,0,0
"121","K00197","cdhE, acsC; acetyl-CoA decarbonylase/synthase complex subunit gamma [EC:2.1.1.245]",11,10,19,3,11.5,0,0,0,0,0,0
"122","K00198","cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]",29,26,39,7,23,0,0,0,0,0,0
"140","K00245","frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]",3,6,7,2.5,3.17,0,0,0,0,0,0
"141","K00246","frdC; fumarate reductase subunit C",1,3,2,1,0.67,0,0,0,0,0,0
"206","K00354","E1.6.99.1; NADPH2 dehydrogenase [EC:1.6.99.1]",44,12,17,35,5,0,0,0,0,0,2
"284","K00547","mmuM, BHMT2; homocysteine S-methyltransferase [EC:2.1.1.10]",75,45,29.5,59,22,0,0,0,0,0,3
"317","K00613","GATM; glycine amidinotransferase [EC:2.1.4.1]",4,6,10,3,5,0,0,0,0,0,0
"320","K00619","argA; amino-acid N-acetyltransferase [EC:2.3.1.1]",18.5,22,18,8.5,4.5,0,0,0,0,0,1.5
"367","K00712","tagE; poly(glycerol-phosphate) alpha-glucosyltransferase [EC:2.4.1.52]",32,7,12,33,4,0,0,0,0,0,0
"420","K00824","dat; D-alanine transaminase [EC:2.6.1.21]",10,11,10,16,11,0,0,9,0,0,2
"439","K00853","araB; L-ribulokinase [EC:2.7.1.16]",60,59,28,59,12.67,0,1,0,0,0,2
"478","K00918","pfkC; ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]",3.5,70.5,4,8,4,0,0,0,0,0,0
"515","K00968","PCYT1; choline-phosphate cytidylyltransferase [EC:2.7.7.15]",16.67,16.17,2,5.17,4.67,0,0,0,0,0,0
"536","K00996","rfbP; undecaprenyl-phosphate galactose phosphotransferase [EC:2.7.8.6]",10,10,5,130,23,0,0,0,0,1,3
"548","K01023","assT; arylsulfate sulfotransferase [EC:2.8.2.22]",15.17,15.67,2,5.17,4.67,0,0,0,0,0,0
"549","K01026","pct; propionate CoA-transferase [EC:2.8.3.1]",23,9,26,20,21,0,1,0,0,0,0
"554","K01034","atoD; acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.8 2.8.3.9]",30,17,13,8,15,0,1,0,0,0,1
"555","K01035","atoA; acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.8 2.8.3.9]",30,17,14,8,15,0,1,0,0,0,1
"570","K01067","E3.1.2.1, ACH1; acetyl-CoA hydrolase [EC:3.1.2.1]",16.5,21,15,7.5,3,0,0,0,0,0,0.5
"574","K01073","E3.1.2.20; acyl-CoA hydrolase [EC:3.1.2.20]",44,10,16,35,5,0,0,0,0,0,1
"601","K01134","ARSA; arylsulfatase A [EC:3.1.6.8]",7.5,2,1.5,4.75,0.5,0,0,0,0,0,0.25
"620","K01174","nuc; micrococcal nuclease [EC:3.1.31.1]",9.25,7,3.75,128,23.25,0,0,0,0,1,1
"646","K01212","sacC, levB; levanase [EC:3.2.1.65]",7.5,2,1.5,4.75,0.5,0,0,0,0,0,0.25
"650","K01220","E3.2.1.85, lacG; 6-phospho-beta-galactosidase [EC:3.2.1.85]",44,12,17,35,5,0,2,0,0,0,0
"748","K01482","DDAH, ddaH; dimethylargininase [EC:3.5.3.18]",2,3,5,1.5,2.5,0,0,0,0,0,0
