"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Description"
"K00001",368.67088643397,1.30749589964439,0.300815625111551,4.34650260989446,1.38325406315983e-05,4.27532543033181e-05,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
"K00003",394.597848778495,0.823115384507656,0.189306077502503,4.34806634507955,1.37343061614453e-05,4.24812418426237e-05,"E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]"
"K00005",49.702788164888,-3.90305743277562,0.48549767293948,-8.03929174190328,9.03592151532064e-16,6.18372619022108e-15,"gldA; glycerol dehydrogenase [EC:1.1.1.6]"
"K00008",301.077096955892,-3.48799786938153,0.403138793903052,-8.65210176279966,5.05595295728399e-18,3.77063349812526e-17,"SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]"
"K00009",262.74522152867,5.10396487593915,0.32629021457121,15.6424086534328,3.74298283375371e-55,1.11059647795807e-53,"mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]"
"K00010",113.618932416197,-2.40802812267267,0.430124648485314,-5.59844252393476,2.16286084074652e-08,9.15853611871666e-08,"iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]"
"K00012",390.628610303558,-2.8548536495554,0.328344144403774,-8.69469944329114,3.47749062121659e-18,2.60279207937544e-17,"UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]"
"K00013",478.471752524198,0.26727061235651,0.0790632221254894,3.38046698795424,0.000723627672083802,0.00187286563852717,"hisD; histidinol dehydrogenase [EC:1.1.1.23]"
"K00016",1124.14544782894,3.1819645447524,0.180709806458756,17.6081453857272,2.13320764378712e-69,1.06267090473988e-67,"LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]"
"K00018",204.324940182095,-3.11617225012957,0.330344175972924,-9.43310788195939,3.98114433238638e-21,3.36137496909646e-20,"hprA; glycerate dehydrogenase [EC:1.1.1.29]"
"K00020",328.522049289231,1.89484943311489,0.331874121836463,5.70954258991186,1.13280207892355e-08,4.92223832201717e-08,"mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]"
"K00024",201.891079215497,-2.66147509122932,0.404134354041596,-6.5856195213619,4.52992510293115e-11,2.44698424935969e-10,"mdh; malate dehydrogenase [EC:1.1.1.37]"
"K00027",373.089348845354,0.993529322731687,0.230206681098605,4.31581445851316,1.59015504938903e-05,4.87851113379767e-05,"ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]"
"K00029",106.942787361539,-2.35245838094328,0.487679035570046,-4.82378410667889,1.40859884155882e-06,5.04424102399597e-06,"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"
"K00031",463.899423108006,0.422113087285903,0.0800405928345049,5.27373764158246,1.33672965948121e-07,5.34949422493732e-07,"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"
"K00033",617.998508132192,2.35383421716706,0.288577327928592,8.15668449792256,3.44346338415392e-16,2.40405830214712e-15,"PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]"
"K00036",365.098681644174,1.42351449881813,0.293536723191962,4.84952779788033,1.23755726388397e-06,4.46638824863078e-06,"G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]"
"K00040",320.151205303075,1.84960249652162,0.265155934286396,6.97552744387707,3.04725385716647e-12,1.8057478634336e-11,"uxuB; fructuronate reductase [EC:1.1.1.57]"
"K00041",139.095358526029,-3.15918436112368,0.263264163775723,-12.0000546820152,3.55061762238049e-33,4.88386278257237e-32,"uxaB; tagaturonate reductase [EC:1.1.1.58]"
"K00042",65.7774976089594,-3.29627004945764,0.604908819818686,-5.44920150188198,5.05964636333466e-08,2.08302983085155e-07,"garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]"
"K00045",88.7842347672309,-2.48177071613656,0.471826756539074,-5.25991941266907,1.44118549078235e-07,5.75642743145179e-07,"E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]"
"K00046",193.141029482583,-3.30870899059449,0.24118798300283,-13.7183824392928,7.88039234415538e-43,1.42326738250528e-41,"idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]"
"K00048",142.548360150746,-3.19394158558118,0.348734499595808,-9.15866250480821,5.2544498281581e-20,4.3051251649248e-19,"fucO; lactaldehyde reductase [EC:1.1.1.77]"
"K00052",478.38162771922,0.254067789128198,0.0812126510021852,3.12842624877941,0.00175745109931402,0.00429944161752086,"leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]"
"K00053",476.188700594764,0.272548828128662,0.0813847017371917,3.34889509098135,0.000811345105940824,0.0020865467591217,"ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]"
"K00054",261.93672128742,5.59675829935245,0.371433598517453,15.0679914840538,2.62987162626102e-51,6.66127239968798e-50,"mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]"
"K00057",484.733635233253,0.23051513152746,0.0807959817412758,2.8530519285676,0.00433015450286422,0.00980218737452809,"gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]"
"K00059",1643.81942939322,0.82535504756327,0.0636704993006593,12.9629114994976,1.98565248268595e-38,3.04369018932747e-37,"fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"
